,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,34,18,16,0.529,48.3,38.6,85.1,0.454,8.6,26.1,0.331,16.4,22.9,0.716,10.6,33.2,43.9,24.0,15.9,8.6,5.1,5.1,18.1,20.8,102.3,-1.6,11,12,12,12,17,16,21,12,22,14,28,25,19,28,12,21,14,5,27,6,12,16,4,10,21,18,10,Atlanta Hawks,2017-01-01,2016-17
1,1610612738,Boston Celtics,34,20,14,0.588,48.1,38.8,86.1,0.45,11.2,31.6,0.355,17.3,21.6,0.801,9.4,31.9,41.3,24.9,12.4,7.8,4.3,5.3,20.7,19.6,106.1,1.9,11,10,8,10,25,15,11,15,4,4,15,20,24,4,23,25,28,3,5,15,23,20,20,20,10,10,10,Boston Celtics,2017-01-01,2016-17
2,1610612751,Brooklyn Nets,32,8,24,0.25,48.3,37.6,85.4,0.44,11.1,32.9,0.337,19.8,25.3,0.781,9.3,34.8,44.0,21.0,17.3,7.7,4.5,5.8,20.8,21.1,106.0,-8.4,26,29,25,29,15,25,18,25,5,3,26,3,6,10,25,5,12,22,30,17,21,30,22,7,11,30,10,Brooklyn Nets,2017-01-01,2016-17
3,1610612766,Charlotte Hornets,34,19,15,0.559,48.4,38.0,86.0,0.442,9.5,27.1,0.351,19.4,25.2,0.771,9.4,36.3,45.7,23.5,11.9,6.6,5.1,5.7,16.6,20.5,104.9,2.3,11,11,11,11,11,21,13,22,13,10,19,4,7,16,22,1,4,7,1,27,12,28,1,12,16,9,10,Charlotte Hornets,2017-01-01,2016-17
4,1610612741,Chicago Bulls,34,16,18,0.471,48.0,37.6,86.6,0.434,6.1,19.9,0.307,19.3,24.1,0.8,13.7,34.0,47.7,20.9,13.6,7.6,5.2,5.2,17.5,19.1,100.5,-0.1,11,14,16,17,27,24,7,28,30,30,30,7,11,5,1,11,2,24,13,20,10,19,2,23,23,14,10,Chicago Bulls,2017-01-01,2016-17
5,1610612739,Cleveland Cavaliers,32,25,7,0.781,48.2,39.3,85.2,0.461,13.3,33.3,0.398,19.1,25.1,0.761,10.2,34.0,44.1,22.6,13.5,7.2,4.1,4.8,18.2,21.8,110.9,7.3,26,4,2,3,23,8,19,9,2,2,2,8,8,19,14,12,11,10,12,23,26,11,5,4,4,4,10,Cleveland Cavaliers,2017-01-01,2016-17
6,1610612742,Dallas Mavericks,34,10,24,0.294,48.3,35.3,82.2,0.429,10.3,30.0,0.344,14.2,17.9,0.794,8.7,29.7,38.4,19.6,12.3,8.0,3.7,3.5,18.9,19.1,95.1,-5.5,11,26,25,26,17,30,28,29,8,6,24,28,30,7,27,30,30,28,4,11,29,2,9,23,30,26,10,Dallas Mavericks,2017-01-01,2016-17
7,1610612743,Denver Nuggets,33,14,19,0.424,48.5,39.2,87.0,0.45,9.5,26.6,0.358,19.9,26.6,0.749,12.5,35.3,47.7,22.8,15.8,6.5,4.1,5.3,21.0,21.9,107.8,-1.8,22,21,18,20,8,10,4,16,12,11,11,2,1,24,2,4,1,9,25,29,24,23,23,3,6,19,10,Denver Nuggets,2017-01-01,2016-17
8,1610612765,Detroit Pistons,36,16,20,0.444,48.0,38.6,85.8,0.449,7.6,22.3,0.341,14.0,18.9,0.74,9.8,34.1,43.9,20.9,12.1,7.0,3.7,4.2,17.6,17.4,98.8,0.1,2,14,20,18,27,17,14,17,29,28,25,29,29,26,15,9,13,23,3,25,28,6,3,30,27,13,10,Detroit Pistons,2017-01-01,2016-17
9,1610612744,Golden State Warriors,34,29,5,0.853,48.3,43.3,87.1,0.497,11.8,31.1,0.381,18.5,23.3,0.794,9.1,36.3,45.4,31.2,15.1,9.3,6.3,3.7,19.7,20.0,117.0,12.7,11,1,1,1,17,1,3,1,3,5,4,15,16,6,26,1,5,1,22,1,1,4,11,16,1,1,10,Golden State Warriors,2017-01-01,2016-17
10,1610612745,Houston Rockets,35,26,9,0.743,48.4,40.9,86.9,0.47,15.1,39.7,0.38,18.1,23.9,0.758,11.3,33.7,45.1,25.8,15.9,8.0,4.6,4.9,20.0,19.5,114.9,7.8,6,3,4,4,12,2,5,5,1,1,5,18,13,21,7,15,7,2,26,12,18,13,13,21,2,3,10,Houston Rockets,2017-01-01,2016-17
